congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,bioname,screen_name,bioguide_id,born,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2,economic_simple_pc,social_simple_pc,economic_simple_tr,social_simple_tr,econ_and_social
116,Senate,41505,37,0,SD,200,"ROUNDS, Marion Michael (Mike)",SenatorRounds,R000605,1954,0.396,0.082,-24.21886,0.94511,429,9,0.409,0.265,right,authoritarian,right,right,rightright
116,Senate,20351,54,0,TN,200,"BLACKBURN, Marsha",MarshaBlackburn,B001243,1952,0.618,0.132,-33.33171,0.93154,470,14,0.696,0.283,right,authoritarian,right,right,rightright
116,Senate,40304,54,0,TN,200,"ALEXANDER, Lamar",SenAlexander,A000360,1940,0.324,-0.176,-24.34483,0.93857,384,9,0.328,-0.062,right,libertarian,right,right,rightright
116,Senate,40305,49,0,TX,200,"CORNYN, John",JohnCornyn,C001056,1952,0.495,0.002,-24.47486,0.94905,468,11,0.458,0.25,right,authoritarian,right,right,rightright
116,Senate,41304,49,0,TX,200,"CRUZ, Rafael Edward (Ted)",tedcruz,C001098,1970,0.818,-0.283,-32.55138,0.93066,453,15,0.833,-0.131,right,authoritarian,right,right,rightright
116,Senate,41110,67,0,UT,200,"LEE, Mike",SenMikeLee,L000577,1971,0.913,-0.408,-90.11241,0.82383,465,52,0.875,-0.484,right,authoritarian,right,right,rightright
116,Senate,41902,67,0,UT,200,"ROMNEY, Willard Mitt (Mitt)",SenatorRomney,R000615,1947,0.365,0.705,-53.94168,0.89157,470,22,0.365,0.705,left,libertarian,left,right,leftright
116,Senate,14307,6,0,VT,100,"LEAHY, Patrick Joseph",SenatorLeahy,L000174,1940,-0.361,-0.129,-87.41394,0.82896,466,49,-0.283,-0.014,left,libertarian,left,left,leftleft
116,Senate,29147,6,0,VT,328,"SANDERS, Bernard",BernieSanders,S000033,1941,-0.527,-0.373,-31.96504,0.84288,187,13,-0.86,-0.077,left,authoritarian,left,left,leftleft
116,Senate,40909,40,0,VA,100,"WARNER, Mark",MarkWarner,W000805,1954,-0.2,-0.039,-56.42905,0.88408,458,19,-0.222,-0.062,left,authoritarian,left,left,leftleft
116,Senate,41305,40,0,VA,100,"KAINE, Timothy Michael (Tim)",timkaine,K000384,1958,-0.239,-0.071,-63.6578,0.87206,465,27,-0.247,-0.012,left,libertarian,left,left,leftleft
116,Senate,39310,73,0,WA,100,"CANTWELL, Maria E.",SenatorCantwell,C000127,1958,-0.301,-0.4,-82.59769,0.83884,470,41,-0.356,-0.301,left,authoritarian,left,left,leftleft
116,Senate,49308,73,0,WA,100,"MURRAY, Patty",PattyMurray,M001111,1950,-0.35,-0.284,-67.6758,0.86263,458,31,-0.405,-0.162,left,libertarian,left,left,leftleft
116,Senate,20146,56,0,WV,200,"CAPITO, Shelley Moore",SenCapito,C001047,1953,0.262,0.058,-23.43182,0.95044,461,4,0.322,0.179,right,libertarian,right,right,rightright
116,Senate,40915,56,0,WV,100,"MANCHIN, Joe, III",Sen_JoeManchin,M001183,1947,-0.056,0.446,-46.5571,0.90569,470,11,-0.046,0.383,left,authoritarian,left,right,leftright
116,Senate,29940,25,0,WI,100,"BALDWIN, Tammy",SenatorBaldwin,B001230,1962,-0.498,-0.178,-96.53096,0.8154,473,47,-0.396,-0.056,left,authoritarian,left,left,leftleft
116,Senate,41111,25,0,WI,200,"JOHNSON, Ron",SenRonJohnson,J000293,1955,0.603,-0.286,-37.67772,0.92136,460,17,0.595,-0.041,right,libertarian,right,right,rightright
116,Senate,40707,68,0,WY,200,"BARRASSO, John A.",SenJohnBarrasso,B001261,1952,0.539,0.237,-24.36335,0.9499,474,14,0.598,0.237,right,libertarian,right,right,rightright
116,Senate,49706,68,0,WY,200,"ENZI, Michael B.",SenatorEnzi,E000285,1944,0.544,0.191,-36.74725,0.92495,471,14,0.579,0.319,right,authoritarian,right,right,rightright
