congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,bioname,screen_name,bioguide_id,born,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2,economic_simple_tr,social_simple_tr,econ_and_social,,21
116,House,29573,49,18,TX,100,"JACKSON LEE, Sheila",JacksonLeeTX18,J000032,1950,-0.46,0.129,-17.69474,0.97424,678,8,-0.569,-0.111,left,left,leftleft,FALSE,
116,House,29760,49,8,TX,200,"BRADY, Kevin Patrick",RepKevinBrady,B000755,1955,0.524,0.216,-104.49315,0.85129,649,46,0.581,0.232,right,right,rightright,FALSE,
116,House,29762,49,12,TX,200,"GRANGER, Kay",RepKayGranger,G000377,1943,0.397,0.239,-97.49761,0.85829,638,45,0.441,0.333,right,right,rightright,FALSE,
116,House,39305,49,30,TX,100,"JOHNSON, Eddie Bernice",RepEBJ,J000126,1935,-0.485,0.204,-19.96995,0.97063,670,8,-0.371,0.038,left,left,leftleft,FALSE,
116,House,20357,67,1,UT,200,"BISHOP, Robert (Rob)",RobBishopUT,B001250,1951,0.536,0.101,-130.17216,0.82026,657,61,0.571,-0.01,right,right,rightright,FALSE,
116,House,21367,67,2,UT,200,"STEWART, Chris",RepChrisStewart,S001192,1960,0.529,0.159,-76.46661,0.89394,682,36,0.539,0.343,right,right,rightright,FALSE,
116,House,21755,67,3,UT,200,"CURTIS, John R.",RepJohnCurtis,C001114,1960,0.542,0.007,-86.19047,0.87437,642,36,0.54,0.024,right,right,rightright,FALSE,
116,House,21943,67,4,UT,100,"McADAMS, Ben",BenMcAdams,M001209,1974,-0.068,0.292,-197.37789,0.7506,688,77,-0.068,0.286,left,left,leftleft,FALSE,
116,House,20750,6,1,VT,100,"WELCH, Peter",PeterWelch,W000800,1947,-0.409,-0.35,-17.34846,0.97429,666,7,-0.505,-0.312,left,left,leftleft,FALSE,
116,House,20756,40,1,VA,200,"WITTMAN, Robert J.",RobWittman,W000804,1959,0.444,-0.019,-118.30328,0.84139,685,53,0.53,0.151,right,right,rightright,FALSE,
116,House,20952,40,11,VA,100,"CONNOLLY, Gerald E. (Gerry)",GerryConnolly,C001078,1950,-0.306,-0.014,-47.21511,0.9333,684,22,-0.225,-0.077,left,left,leftleft,FALSE,
116,House,21191,40,9,VA,200,"GRIFFITH, H. Morgan",RepMGriffith,G000568,1958,0.552,-0.436,-159.17193,0.79076,678,68,0.569,-0.354,right,right,rightright,FALSE,
116,House,21554,40,8,VA,100,"BEYER, Donald Sternoff Jr.",DonBeyerVA,B001292,1950,-0.386,-0.045,-15.62174,0.97702,672,6,-0.348,-0.291,left,left,leftleft,FALSE,
116,House,21736,40,4,VA,100,"MCEACHIN, Aston Donald",RepMcEachin,M001200,1961,-0.378,-0.107,-35.49649,0.93815,556,14,-0.294,-0.081,left,left,leftleft,FALSE,
116,House,21908,40,6,VA,200,"CLINE, Benjamin",RepBenCline,C001118,1972,0.716,-0.183,-107.53244,0.85569,690,48,0.716,-0.183,right,right,rightright,FALSE,
116,House,21941,40,2,VA,100,"LURIA, Elaine",ElaineLuriaVA,L000591,1975,-0.175,0.381,-97.54715,0.86673,682,48,-0.179,0.379,left,left,leftleft,FALSE,
116,House,21957,40,5,VA,200,"RIGGLEMAN, Denver",Denver4VA,R000611,1970,0.486,-0.042,-105.87237,0.85641,683,37,0.486,-0.042,right,right,rightright,FALSE,
116,House,21966,40,7,VA,100,"SPANBERGER, Abigail",SpanbergerVA07,S001209,1979,-0.164,0.428,-93.16627,0.87335,688,36,-0.164,0.419,left,left,leftleft,FALSE,
116,House,21983,40,10,VA,100,"WEXTON, Jennifer",JenniferWexton,W000825,1968,-0.412,0.48,-23.71672,0.96612,688,13,-0.412,0.483,left,left,leftleft,FALSE,
116,House,39307,40,3,VA,100,"SCOTT, Robert C.",BobbyScott,S000185,1947,-0.45,0.015,-36.78485,0.94801,689,13,-0.347,0.114,left,left,leftleft,FALSE,
116,House,20145,73,2,WA,100,"LARSEN, Richard Ray (Rick)",RepRickLarsen,L000560,1965,-0.364,0.189,-36.9419,0.9475,685,10,-0.453,0.147,left,left,leftleft,FALSE,
116,House,20535,73,5,WA,200,"McMORRIS RODGERS, Cathy",cathymcmorris,M001159,1969,0.425,0.115,-110.69894,0.84895,676,49,0.401,-0.023,right,right,rightright,FALSE,
116,House,21187,73,3,WA,200,"HERRERA BEUTLER, Jaime",HerreraBeutler,H001056,1978,0.359,-0.191,-109.88571,0.80919,519,54,0.274,-0.015,right,right,rightright,FALSE,
116,House,21368,73,6,WA,100,"KILMER, Derek",DerekKilmer,K000381,1974,-0.309,-0.01,-28.319,0.95967,688,14,-0.389,0.406,left,left,leftleft,FALSE,
116,House,21369,73,10,WA,100,"HECK, Denny",DennyHeck,H001064,1952,-0.311,-0.127,-15.33996,0.97769,680,4,-0.294,-0.197,left,left,leftleft,FALSE,
116,House,21556,73,4,WA,200,"NEWHOUSE, Daniel Milton",repnewhouse,N000189,1955,0.349,0.236,-89.44395,0.87692,681,39,0.325,0.3,right,right,rightright,FALSE,
116,House,21726,73,7,WA,100,"JAYAPAL, Pramila",RepJayapal,J000298,1965,-0.698,-0.228,-27.30405,0.96081,683,10,-0.569,-0.745,left,left,leftleft,FALSE,
116,House,21962,73,8,WA,100,"SCHRIER, Kim",RepKimSchrier,S001216,1968,-0.332,0.423,-33.70459,0.95219,688,16,-0.331,0.427,left,left,leftleft,FALSE,
116,House,29768,73,9,WA,100,"SMITH, Adam",RepAdamSmith,S000510,1965,-0.284,-0.161,-14.70524,0.97845,675,7,-0.362,-0.314,left,left,leftleft,FALSE,
116,House,31101,73,1,WA,100,"DelBENE, Suzan K.",RepDelBene,D000617,1962,-0.28,-0.23,-16.32167,0.97652,687,2,-0.334,-0.222,left,left,leftleft,FALSE,
116,House,21188,56,1,WV,200,"McKINLEY, David",RepMcKinley,M001180,1947,0.3,0.188,-119.79,0.84063,690,50,0.323,0.339,right,right,rightright,FALSE,
116,House,21557,56,2,WV,200,"MOONEY, Alex X.",RepAlexMooney,M001195,1971,0.578,-0.287,-152.12277,0.80111,686,68,0.575,-0.269,right,right,rightright,FALSE,
116,House,21946,56,3,WV,200,"MILLER, Carol",RepCarolMiller,M001205,1950,0.459,0.415,-69.36589,0.90316,681,26,0.459,0.415,right,right,rightright,FALSE,
116,House,14657,25,5,WI,200,"SENSENBRENNER, Frank James, Jr.",JimPressOffice,S000244,1943,0.638,-0.581,-155.5739,0.77293,604,80,0.567,-0.273,right,right,rightright,FALSE,
116,House,20537,25,4,WI,100,"MOORE, Gwendolynne S. (Gwen)",Gwen4Congress,M001160,1951,-0.529,-0.249,-22.88003,0.96682,678,11,-0.472,-0.38,left,left,leftleft,FALSE,
116,House,21189,25,7,WI,200,"DUFFY, Sean",SeanDuffyWI,D000614,1971,0.511,-0.109,-100.93909,0.79459,439,46,0.515,0.012,right,right,rightright,FALSE,
116,House,21370,25,2,WI,100,"POCAN, Mark",repmarkpocan,P000607,1964,-0.541,-0.535,-26.24231,0.96198,677,7,-0.45,-0.853,left,left,leftleft,FALSE,
116,House,21559,25,6,WI,200,"GROTHMAN, Glenn",RepGrothman,G000576,1955,0.616,-0.288,-140.01677,0.81039,666,67,0.617,-0.331,right,right,rightright,FALSE,
116,House,21720,25,8,WI,200,"GALLAGHER, Michael",RepGallagher,G000579,1984,0.444,-0.049,-140.56654,0.81374,682,59,0.399,-0.037,right,right,rightright,FALSE,
116,House,21970,25,1,WI,200,"STEIL, Bryan",RepBryanSteil,S001213,1981,0.425,-0.06,-114.22428,0.84579,682,49,0.425,-0.061,right,right,rightright,FALSE,
116,House,29769,25,3,WI,100,"KIND, Ron",RepRonKind,K000188,1963,-0.262,-0.082,-58.40257,0.91556,662,23,-0.243,0.135,left,left,leftleft,FALSE,
116,House,21710,68,1,WY,200,"CHENEY, Liz",RepLizCheney,C001109,1966,0.509,0.5,-101.03404,0.85905,665,50,0.503,0.588,right,right,rightright,FALSE,
